,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.03479527682065964,0.18653491139411926,0.007699250243604183,0.08774536848068237
1,0.004408259876072407,0.06639472395181656,0.0032898238860070705,0.05735698714852333
2,0.0040715597569942474,0.06380877643823624,0.00248968368396163,0.0498967319726944
3,0.0028498831670731306,0.05338429659605026,0.001642440678551793,0.04052703455090523
4,0.0026705656200647354,0.05167751386761665,0.001559678465127945,0.039492763578891754
5,0.0022535263560712337,0.04747132211923599,0.0014744027284905314,0.038397952914237976
6,0.0022682740818709135,0.047626398503780365,0.001520577003248036,0.038994576781988144
7,0.0020128388423472643,0.04486467316746712,0.0016954377060756087,0.04117569327354431
8,0.001767864334397018,0.04204597696661949,0.0015883531887084246,0.03985414654016495
9,0.0017799802590161562,0.042189810425043106,0.001672626007348299,0.04089774936437607
10,0.0017341843340545893,0.04164353758096695,0.0010913951555266976,0.03303626924753189
11,0.0015554857673123479,0.039439648389816284,0.0014032920589670539,0.03746053948998451
12,0.0016622646944597363,0.04077088087797165,0.0012088819639757276,0.034768979996442795
13,0.0015578712336719036,0.039469875395298004,0.002056292723864317,0.04534636437892914
14,0.0014890815364196897,0.038588616997003555,0.002102444414049387,0.0458524189889431
15,0.001459577470086515,0.03820441663265228,0.0014587899204343557,0.03819410875439644
