epoch;learning_rate;loss;mae;rmse;val_loss;val_mae;val_rmse
0;0.0010000000474974513;0.45844322443008423;0.8415409922599792;1.0703853368759155;0.4174700379371643;0.8088133931159973;1.0043214559555054
1;0.0010000000474974513;0.4191964566707611;0.8051141500473022;1.0095866918563843;0.40895378589630127;0.7950465679168701;0.9974190592765808
2;0.0010000000474974513;0.40105047821998596;0.780168354511261;0.9872695803642273;0.3742304742336273;0.7197345495223999;0.9736545085906982
3;0.0010000000474974513;0.3452204167842865;0.7019038200378418;0.9046146869659424;0.2716497480869293;0.593887209892273;0.794666588306427
4;0.0010000000474974513;0.28539392352104187;0.6169924139976501;0.8080949187278748;0.21740779280662537;0.5194255709648132;0.6873296499252319
5;0.0010000000474974513;0.25134050846099854;0.5646770000457764;0.7484729290008545;0.21341797709465027;0.48430803418159485;0.6993164420127869
6;0.0010000000474974513;0.24175219237804413;0.5486294627189636;0.734909176826477;0.18744738399982452;0.4749991297721863;0.6344020366668701
7;0.0010000000474974513;0.2101336419582367;0.5046421885490417;0.6752450466156006;0.2036655694246292;0.5132022500038147;0.6452165246009827
8;0.0010000000474974513;0.20663122832775116;0.4984224736690521;0.671235203742981;0.15108075737953186;0.41022178530693054;0.5630018711090088
9;0.0010000000474974513;0.19879573583602905;0.4865192472934723;0.6566992402076721;0.15245595574378967;0.39558470249176025;0.5727896094322205
10;0.0010000000474974513;0.19259527325630188;0.47294291853904724;0.6482719779014587;0.131029412150383;0.3754011392593384;0.5213000774383545
11;0.0010000000474974513;0.20640064775943756;0.49429750442504883;0.6733703017234802;0.1778138279914856;0.4347921907901764;0.6273388862609863
12;0.0010000000474974513;0.18763382732868195;0.466118723154068;0.639788031578064;0.14052453637123108;0.40278515219688416;0.5394269227981567
13;0.0010000000474974513;0.19402702152729034;0.4804432988166809;0.648224413394928;0.1397712379693985;0.3841356635093689;0.5435799360275269
14;0.0005000000237487257;0.18753111362457275;0.4664486050605774;0.6358373761177063;0.11948801577091217;0.3534903824329376;0.49624279141426086
15;0.0005000000237487257;0.17208130657672882;0.4453093707561493;0.608963668346405;0.119137704372406;0.35867297649383545;0.4958896040916443
16;0.0005000000237487257;0.17049609124660492;0.44363561272621155;0.6035112142562866;0.12965339422225952;0.39300912618637085;0.512414276599884
17;0.0005000000237487257;0.16666904091835022;0.43884825706481934;0.5979730486869812;0.13015742599964142;0.40850570797920227;0.5148284435272217
18;0.0005000000237487257;0.16645558178424835;0.436597615480423;0.5978279709815979;0.12368594855070114;0.35677576065063477;0.5098369121551514
19;0.0002500000118743628;0.15808096528053284;0.42115646600723267;0.5806005001068115;0.11121153086423874;0.35433486104011536;0.4764416217803955
20;0.0002500000118743628;0.1580628901720047;0.42151832580566406;0.582961916923523;0.10353642702102661;0.33019351959228516;0.45983776450157166
21;0.0002500000118743628;0.15833522379398346;0.4232140779495239;0.5828559398651123;0.10955137014389038;0.3458753824234009;0.47469377517700195
22;0.0002500000118743628;0.1490149050951004;0.4102407693862915;0.5618190169334412;0.1014181450009346;0.3284597098827362;0.4546501040458679
23;0.0002500000118743628;0.1512954980134964;0.41251352429389954;0.5681121349334717;0.10899510979652405;0.3253498077392578;0.4769474267959595
24;0.0002500000118743628;0.1507968157529831;0.41759786009788513;0.5630975961685181;0.1023479476571083;0.3255230486392975;0.459049254655838
25;0.0002500000118743628;0.15367698669433594;0.41463541984558105;0.5723077058792114;0.10152821242809296;0.33076152205467224;0.4535898268222809
26;0.0001250000059371814;0.14889340102672577;0.4081857204437256;0.5626382231712341;0.09942392259836197;0.32922786474227905;0.4491158425807953
27;0.0001250000059371814;0.14515410363674164;0.4044400751590729;0.5542147755622864;0.1012459248304367;0.33030298352241516;0.45544877648353577
28;0.0001250000059371814;0.14666521549224854;0.40658125281333923;0.5579361915588379;0.10018856078386307;0.3230750262737274;0.45365145802497864
29;0.0001250000059371814;0.1495446115732193;0.4093114733695984;0.5651423931121826;0.0998133048415184;0.3301331102848053;0.4496174454689026
30;6.25000029685907e-05;0.14208270609378815;0.39794665575027466;0.5490617156028748;0.09797903895378113;0.3281501531600952;0.4460618495941162
31;6.25000029685907e-05;0.13956321775913239;0.3904721140861511;0.5432108640670776;0.0939934030175209;0.31033098697662354;0.4374736547470093
32;6.25000029685907e-05;0.1333489865064621;0.3786912262439728;0.5305506587028503;0.09567969292402267;0.30933210253715515;0.4428887367248535
33;6.25000029685907e-05;0.13776271045207977;0.3868533670902252;0.5403854250907898;0.09389888495206833;0.31289806962013245;0.4378397464752197
34;6.25000029685907e-05;0.13659970462322235;0.38547012209892273;0.5370664000511169;0.09451036900281906;0.31206125020980835;0.4399014711380005
35;3.125000148429535e-05;0.13508105278015137;0.38430124521255493;0.5335867404937744;0.09546934813261032;0.3103044033050537;0.442880779504776
36;3.125000148429535e-05;0.13535156846046448;0.38493645191192627;0.5327923893928528;0.09153170138597488;0.31115251779556274;0.43143904209136963
37;3.125000148429535e-05;0.1343119740486145;0.38484078645706177;0.5323247313499451;0.09373628348112106;0.3099803924560547;0.4382455348968506
38;3.125000148429535e-05;0.13185597956180573;0.38242241740226746;0.5251986384391785;0.09327690303325653;0.31785228848457336;0.43493369221687317
39;3.125000148429535e-05;0.12906409800052643;0.37761515378952026;0.5196734070777893;0.09068606793880463;0.30898746848106384;0.42947813868522644
40;3.125000148429535e-05;0.13350850343704224;0.38320866227149963;0.5295023918151855;0.09275736659765244;0.3139321208000183;0.4349421262741089
41;3.125000148429535e-05;0.12954406440258026;0.3777044117450714;0.5214313864707947;0.09186431765556335;0.305235892534256;0.43369168043136597
42;3.125000148429535e-05;0.1305537223815918;0.37904009222984314;0.5226286053657532;0.09083537757396698;0.30932578444480896;0.43032306432724
43;1.5625000742147677e-05;0.13073855638504028;0.37869957089424133;0.52488774061203;0.09022831171751022;0.30650562047958374;0.4288673996925354
44;1.5625000742147677e-05;0.13088789582252502;0.381324827671051;0.522291898727417;0.08987494558095932;0.30676889419555664;0.4277547299861908
45;1.5625000742147677e-05;0.12940165400505066;0.3790915310382843;0.5207920670509338;0.0899609923362732;0.30457746982574463;0.428368479013443
46;1.5625000742147677e-05;0.13078899681568146;0.38088294863700867;0.5235363841056824;0.09023256599903107;0.3061959147453308;0.42899978160858154
47;1.5625000742147677e-05;0.13263748586177826;0.38351020216941833;0.5278976559638977;0.09152692556381226;0.30781254172325134;0.43267297744750977
48;7.812500371073838e-06;0.13162265717983246;0.38046368956565857;0.5266932845115662;0.09065882861614227;0.30808502435684204;0.43005743622779846
49;7.812500371073838e-06;0.13256743550300598;0.38482555747032166;0.5269671082496643;0.09043191373348236;0.3072400391101837;0.4295312762260437
